NT0310,3,Trans-Mexican Volcanic Belt pine-oak forests 
NT0401,4,Juan Fernández Islands temperate forests
NT0402,4,Magellanic subpolar forests
NT0403,4,San Félix-San Ambrosio Islands temperate forests
NT0404,4,Valdivian temperate forests 
NT0701,7,Arid Chaco
NT0702,7,Beni savanna
NT0703,7,Campos Rupestres montane savanna
NT0704,7,Cerrado
NT0705,7,Clipperton Island shrub and grasslands
NT0706,7,Córdoba montane savanna
NT0707,7,Guyanan savanna
NT0708,7,Humid Chaco
NT0709,7,Llanos
NT0710,7,Uruguayan savanna
NT0801,8,Argentine Espinal
NT0802,8,High Monte
NT0803,8,Humid Pampas
NT0804,8,Patagonian grasslands
NT0805,8,Patagonian steppe
NT0806,8,Semi-arid Pampas 
NT0901,9,Central Mexican wetlands
NT0902,9,Cuban wetlands
NT0903,9,Enriquillo wetlands
NT0904,9,Everglades
NT0905,9,Guayaquil flooded grasslands
NT0906,9,Orinoco wetlands
NT0907,9,Pantanal
NT0908,9,Paraná flooded savanna
NT0909,9,Southern Cone Mesopotamian savanna 
NT1001,10,Central Andean dry puna
NT1002,10,Central Andean puna
NT1003,10,Central Andean wet puna
NT1004,10,Cordillera Central páramo
NT1005,10,Cordillera de Merida páramo
NT1006,10,Northern Andean páramo
NT1007,10,Santa Marta páramo
NT1008,10,Southern Andean steppe
NT1009,10,Zacatonal
NT1010,10,High Monte
NT1201,12,Chilean matorral 
NT1301,13,Araya and Paria xeric scrub
NT1302,13,Aruba-Curaçao-Bonaire cactus scrub
NT1303,13,Atacama desert
NT1304,13,Caatinga
NT1305,13,Cayman Islands xeric scrub
NT1306,13,Cuban cactus scrub
NT1307,13,Galápagos Islands xeric scrub
NT1308,13,Guajira-Barranquilla xeric scrub
NT1309,13,La Costa xeric shrublands
NT1310,13,Leeward Islands xeric scrub
NT1311,13,Malpelo Island xeric scrub
NT1312,13,Motagua Valley thornscrub
NT1313,13,Paraguana xeric scrub
NT1314,13,San Lucan xeric scrub
NT1315,13,Sechura desert
NT1316,13,Tehuacán Valley matorral
NT1317,13,Windward Islands xeric scrub
NT1318,13,St. Peter and St. Paul rocks 
NT1401,14,Alvarado mangroves
NT1402,14,Amapa mangroves
NT1403,14,Bahamian mangroves
NT1404,14,Bahia mangroves
NT1405,14,Belizean Coast mangroves
NT1406,14,Belizean Reef mangroves
NT1407,14,Bocas del Toro-San Bastimentos Island-San Blas mangroves
NT1408,14,Coastal Venezuelan mangroves
NT1409,14,Esmeraldes-Pacific Colombia mangroves
NT1410,14,Greater Antilles mangroves
NT1411,14,Guianan mangroves
NT1412,14,Gulf of Fonseca mangroves
NT1413,14,Gulf of Guayaquil-Tumbes mangroves
NT1414,14,Gulf of Panama mangroves
NT1415,14,Ilha Grande mangroves
NT1416,14,Lesser Antilles mangroves
NT1417,14,Magdalena-Santa Marta mangroves
NT1418,14,Manabí mangroves
NT1419,14,Maranhao mangroves
NT1420,14,Marismas Nacionales-San Blas mangroves
NT1421,14,Mayan Corridor mangroves
NT1422,14,Mexican South Pacific Coast mangroves
NT1423,14,Moist Pacific Coast mangroves
NT1424,14,Mosquitia-Nicaraguan Caribbean Coast mangroves
NT1425,14,Northern Dry Pacific Coast mangroves
NT1426,14,Northern Honduras mangroves
NT1427,14,Pará mangroves
NT1428,14,Petenes mangroves
NT1429,14,Piura mangroves
NT1430,14,Ría Lagartos mangroves
NT1431,14,Rio Negro-Rio San Sun mangroves
NT1432,14,Rio Piranhas mangroves
NT1433,14,Rio São Francisco mangroves
NT1434,14,Southern Dry Pacific Coast mangroves
NT1435,14,Tehuantepec-El Manchon mangroves
NT1436,14,Trinidad mangroves
NT1437,14,Usumacinta mangroves 
OC0101,1,Carolines tropical moist forests
OC0102,1,Central Polynesian tropical moist forests
